complaint_id,facility_id,facility_type,incident_date,notes,severity,fine,Facility Invest Results Abuse,Facility Invest Results Rule,Type Of Abuse
BC121283,385015,NF,8/17/2012,"RV receives a PRN anti-emetic medication prior to a specific treatment, but RP2 forgot to give RV the medication.  RV also receives other anti-emetic medication on a regular.  While RV experience some emesis, this occurred on another shift than when the PRN medication was to be given, so a clear link between failure to give the PRN and the emesis can not be drawn. s RV did not receive all medication as ordered.  An Oregon Administrative Rule violation occurred.",2,0,Not Substantiated,Substantiated,
OR0000810501,385015,NF,2/8/2013,Resident 1 was admitted 12/4/2012 with multiple diagnoses.  Staff failed to make a home health referral as resident physician ordered.  Staff 3 reported not making the referral as the resident went to the ostomy clinic twice a week.  Relevant portions of the survey are attached.  Federal enforcement action was proposed.  An Oregon Administrative Rule Violation occurred.,2,0,Not Substantiated,Substantiated,
BC133041,385015,NF,4/1/2013,"During interviews with witnesses and RV it was determined RV lost money from his/her locked drawer.  RV reported keeping the key on his/her wrist.  RV will give the key to staff to unlock the drawer and get money for sodas, etc.  The facility replaced the missing money and RV is now using a money pouch. Staff will check to see that RV has the pouch on.'",2,0,Substantiated,Substantiated,Financial abuse
OR0000854200,385015,NF,9/24/2013,Resident 1 was admitted May 2013 with multiple diagnoses.   The resident was admitted for rehabilitation following cardiac surgery.  The resident POLST listed specific parameters.  On 5/16/2013 resident sustained a change of condition without appropriate notification to resident physician.  Relevant survey pages are attached.  Enforcement action was recommended.  An Oregon Administrative Rule violation occurred.,2,,Inconclusive,Substantiated,
OR0000854201,385015,NF,9/24/2013,The facility failed to administer resident medication according to physician orders and obtain parameters for administration of antihypertensive medication.  The resident was placed at risk for harm  relevant portions of the survey are attached.  Enforcement  action was recommended.  An Oregon Administrative Rule violation occurred.,2,,Inconclusive,Substantiated,
OR0000923600,385015,NF,9/24/2014,"Resident 1 was admitted in 2013 with multiple diagnoses.  In August of 2014 the resident had orders for care services related to tube feedings.  Staff monitored and provided care/feedings.  On occasion the resident's feeding tube became clogged despite staff providing appropriate care per resident, witness and staff/document review.  The resident's feeding tube was changed; there was no further clogging as of 12/21/2014.  During the investigation it was discovered the facility failed to follow physician orders regarding cc's of pedialyte from 10/21/ to 10/31/2014.  No evidence of negative outcome to the resident was discovered.   Oregon Administrative Rule violations occurred.",2,,Not Substantiated,Substantiated,
BC151265,385015,NF,3/12/2015,"On 3/12/2105 W3 (family) realized and reported to staff RV was not wearing his/her sapphire ring.  RV has been a resident since 2014, is a little forgetful, almost blind and has never removed the ring in the past.  Witnesses deny RV has sustained any significant weight loss which would allow the ring to simply slip off.  RV's roommate had considerable company 2/19/2015.  Staff searched the facility, but the ring has not turned up.  No one really knows what happened to the ring.  W3 reported the only other thing RV had go missing was some cookies.  The facility reimbursed for the missing ring.  Oregon Administrative Rule violation occurred.",2,,Substantiated,Substantiated,Financial abuse
OR0001020805,385015,NF,10/26/2015,Resident 2 was admitted 10/21/2015 with diagnoses including abdominal surgery due to diverticulitis.  The complainant indicated the linoleum was coming loose and moldy smell was in the facility.  Staff 5 and 14 are aware of the e issue and are in the process of obtaining bids for remodeling.  An Oregon Administrative Rule violation occurred.,2,,Not Substantiated,Substantiated,
BC165031,385015,NF,3/12/2016,"Documentation and interviews indicated RP2 (Johnny W. McGee) yelled at RV; and threatened to ""kill RV and told RV put you six feet under"".  RV stated RP2 is not nice, RP2 is not gentle and reported RP2 said ""the next time I will kill you"".  RP2's verbiage constitutes mental abuse by threats of punishment.  The facility took appropriate and immediate action.  Oregon Administrative Rule violations occurred.",3,,Not Substantiated,Substantiated,Verbal/Mental abuse
OR0000667900,385018,NF,2/10/2011,"Resident 1 was admitted 12/20/2010 with diagnoses of bilateral below knee amputation.  Resident 1 fell in his/her room on 12/20/2010.  Further assessment and intervention included a low bed, floor mats and a TAB alarm at all times.  Resident 1 fell on 2/12/2011 at 3:45 and did not have the alarm on at the time of the fall.  Resident 1 did not sustain injury.  Staff 1 had found Resident 1 without an alarm at the beginning of his/her shift, was unable to tell the charge nurse at the time, got busy and forgot to follow through.  All staff including Staff 1 received re-education in-service on following the care plan and how to respond if a necessary item was not available.  Relevant portions of the survey are attached.",2,0,Not Substantiated,Substantiated,
OR0000711400,385018,NF,8/26/2011,"Resident 1 was admitted 8/20/11 with multiple diagnoses.  Resident 1's admission assessment indicated bruising to his/her right hand, right shoulder and left forearm.  On 8/22/11 staff note of 2:20 P.M. indicated deep purple bruising to Resident 1's penis, fore skin and scrotum; not related to injury.  Multiple staff indicated there were no investigations by staff for the origin on Resident 1's bruising.  Staff denied any knowledge of mistreatment.  Relevant survey portions are attached.",2,0,Not Substantiated,Substantiated,
WB118529,385018,NF,11/20/2011,"W1 and W2 observed RP2 and RV by the storage room.  W2 overheard conversation between RV and RP2.  W1 observed RP2 attempting to keep RV out of the storage room.  W1 reported RV and RP2 were ""struggling""; RP2 was holding RV's wrist.    W1 reported asking RV to go to the dining room and RV complied. W3 reported ""staff know"" RV goes into the storage room to be alone.  RP2 gave a differing account of his/her interaction with RV; did state ""grabbing"" RV's wrists to keep RV from hitting RP2.  Pictures of RV's wrists, taken by another official agency, showed reddish spots.  RV's care plan revealed a need for frequent re-direction and close supervision; becomes aggressive at times.  RV's care plan did not address RV's ""alone time"" or use of a specific area, i.e.. The storage room.  Not all staff received sufficient training regarding RV's specific needs.",2,0,Substantiated,Substantiated,Physical Abuse
WB132309,385018,NF,1/16/2013,"RV's physician order of 1/6/2013 through 2/1/2013 for RV to be catheterized daily was not completed as ordered.  Staff missed the order per W1.  W2 reported RV sustained two UTIs between 1/16/2013 and 1/29/2013, but evidence is inconclusive the lack of daily catheterization was the direct cause of the UTIs.  An Oregon Administrative Rule  violation occurred.",2,0,Inconclusive,Substantiated,
WB134718,385018,NF,9/26/2013,"RV and RP2 give varied accounts of events involving RV's transfer.  Evidence fails to support roughness and abuse.  RP2 failed to follow appropriate transfer procedures.  RV likely became ""scared"" when RP2 grabbed the back of RV's belt to keep RV from falling.  RV's care plan was adjusted for safety to use two staff for transfers.  An Oregon Administrative Rule violation occurred.",2,,Not Substantiated,Substantiated,
WB134966A,385018,NF,10/31/2013,"RP2 removed RV's staples.  RV did not sustain known harm, but was at risk for harm.  RP2 worked outside his/her scope of practice and outside his/her job duties. RP2 admitted it was not in a CNA's ""job description"" and it was a ""bad move"".  RP2 received written warning and was no longer assigned as a CNA or CMA.  Oregon Administrative Rule violation occurred.",2,,Not Substantiated,Substantiated,
WB134971A,385018,NF,10/11/2013,RP2 attempted a straight catheterization on RV which was not in her job duties and beyond RP2's scope of practice.  While RP2 is a CNA II the task of catheterization must be delegated.  W3 and W4 were not accurate in allowing RP2 to provide catheterization of RV as Nursing Facility rules do not allow delegation nor was RP2 delegated to perform the task.  RV was at risk for harm.  An Oregon Administrative Rule violation occurred.,2,,Not Substantiated,Substantiated,
WB134971B,385018,NF,10/11/2013,RP2 attempted a straight catheterization on RV which was not in her job duties and beyond RP2's scope of practice.  While RP2 is a CNA II the task of catheterization must be delegated.  W3 and W4 were not accurate in allowing RP2 to provide catheterization of RV as Nursing Facility rules do not allow delegation nor was RP2 delegated to perform the task.  RV was at risk for harm. The facility to ensure all staff were instructed in the latest policy and procedure for resident safety regarding the scope and practice of CNA2s.  RP2 did not document nor did any license staff document RP2's attempted catheterization of.  RV did report some pain at RP2's attempted catheterization.    Oregon Administrative Rules were violated.,2,,Substantiated,Substantiated,Neglect
WB134966B,385018,NF,10/31/2013,"RP2 was not qualified to remove RV's staples.  W4 admitted ""watching"" RP2 remove two staples.  W4 reported not being entirely sure of RP2's certification.  W4 and RP2 placed RV at risk for harm. RP2 received a warning and will not be assigned CNA or CMA duties.  Staff received further instruction.  An Oregon Administrative Rule violation occurred.",2,,Not Substantiated,Substantiated,
WB145608A,385018,NF,12/1/2013,"On December 2, 2013 RP2 failed to assess and provide intervention regarding RV1's un-bandage heel and reported fever for over three hours even after several reminders. RV's temperature rose to 102.4 degrees and it still took RP2 a long time to respond per witness statement.  Witnesses reported at the shift start RP2 stated ""Forgive me if I am slow tonight, I have swelling of the brain"".  RP2 should not have been providing care while impaired. The facility had prior reports regarding RP2's inability to finish duties and medication error.  RP2's behavior and neglect of RV's care resulted in a significant delay of medical care for RV constituting neglect and abuse.  The facility failed to provide a safe environment by allowing RP2 to provide care having had prior knowledge of RP2's behaviors and actions. The facility allowed RP2 to provide care while impaired resulting in a significant delay of medical attention for RV1.  The facility failure constitutes neglect and abuse. Oregon Administrative Rule violations occurred.",3,600,Substantiated,Substantiated,Neglect
WB145608B,385018,NF,12/1/2013,The facility and ultimately RP2 failed to properly assess and ensure RV2's  CPAP was functioning.  There was no known outcome to RV2.  Oregon Administrative Rule violations occurred.,2,,Not Substantiated,Substantiated,
WB145608D,385018,NF,12/1/2013,RP2 incorrectly told RV4 that RV was going to the hospital  causing RV anxiety.  RP2 received an order for RV's anxiety at 1:30 A.M.. But failed to deliver the medication until 2:10 A.M. after being reminded that RV needed the medication.  RV was at potential for harm.  RP2 was disciplined.  Oregon Administrative Rule violation occurred.,2,,Not Substantiated,Substantiated,
WB145608C,385018,NF,12/1/2013,"On December 2, 2013 RP2 failed to assess and provide timely care for RV3's leaking colostomy bag.  W2 reported changing RV's clothes and bedding several times during the 3 to 4 hour delay. Witnesses reported at the shift start RP2 stated ""Forgive me if I am slow tonight, I have swelling of the brain"".  RP2 should not have been providing care while impaired. The facility had prior reports regarding RP2's inability to finish duties and medication error. RP2's behavior and neglect of RV's care for 3 to 4 hours resulted in a significant loss of dignity and potential for serious harm to RV's skin. RV's skin was excoriated at the colostomy site.  RP2's behaviors and actions resulted in neglect and abuse.  The facility failed to provide a safe environment by allowing RP2 to provide care having had prior knowledge of RP2's behaviors and actions. The facility allowed RP2 to provide care while impaired resulting in a significant a loss of dignity and potential for serious harm to RV3.  The facility failure constitutes neglect and abuse. Oregon Administrative Rule violations occurred.",3,,Substantiated,Substantiated,Neglect
WB149265,385018,NF,11/8/2014,"RP2 denied telling RV ""I could slap your face"".  Evidence is inconclusive whether or not RP2 snapped his/her fingers and whether or not this was a form of intimidation.  Review indicates RP2 received prior counseling regarding resident interaction.  RP2 is reminded to be mindful of interactions with all residents.  Staff should have promptly reported their suspicion of abuse.  Failure to promptly report suspected abuse placed RV and all resident at risk for harm.  A Oregon Administrative Rule violation occurred.",2,,Inconclusive,Substantiated,
OR0000975700,385018,NF,6/12/2015,"Resident 1 was admitted March 2015 with multiple diagnoses including end stage renal disease.  The resident was assessed as alert, oriented and able to direct his/her care.  The resident 3/18/2015 assessment indicated the resident was admitted with an unstageable left outer ankle ulcer.  Record review and interview note facility failure to document the left ankle ulcer on the bedside care plan and the resident did not receive all dressing changes as ordered.  Thigh resident proform orders were not consistently in place and or documented as to the reason why it was not placed on 5/30/2015.  The flow sheet indicated an open area to the left posterior thigh; nothing was on the 5/30/2015 TAR.  The resident developed an open area in June, but no changes were noted on the care plan.  The facility failed to provide care and services.  Relevant portions of the survey are attached.  Enforcement action was proposed.  Oregon Administrative Rule violations occurred.",2,,Substantiated,Substantiated,Neglect
OR0000975701,385018,NF,6/12/2015,"Resident 1 was admitted March 2015 with diagnoses including anxiety.  The resident was admitted with physician orders for Lorazapam.  The resident was assessed to be alert, oriented and able to direct his/her care, but was not included in discussion regarding the risks versus the benefit for the use of anti anxiety medication.  Relevant portions of the survey are attached.  Enforcement was proposed.  Oregon Administrative Rule violations occurred.",2,,Not Substantiated,Substantiated,
OR0000975702,385018,NF,6/12/2015,"Resident 1 was admitted March 2015 with diagnoses including end stage renal disease.  The resident was alert, oriented and able to direct his/her care.  Record review and witness interview indicated staff bump the power switch accidently, the resident became upset and the resident accidently struck his/her arm on the chair sustaining a skin tear.  The resident was involved in an interaction with Staff 3 and voiced dissatisfaction with care; complained of rough care and or verbal abuse, but then denied Staff 3 was rough.  The facility failed to thoroughly investigate and document the allegations.  Relevant portions of the survey are attached.  Enforcement action was proposed.  Oregon Administrative Rule violations  occurred.",2,,Not Substantiated,Substantiated,
MF116126,385024,NF,11/27/2010,"RV1 reported RP2 gave RV1 a ""macro mineral"" instead of a pain medication on 11/20/10.RV 1 reported telling the facility two times about medication issues.  W2 reported filling out an incident report/grievance.  W4 reported giving a baggy that RV1 spit a medication in to W1, but W1  disagrees with this statement.  RP2 signed as giving RV1 a narcotic medication on 11/26,27 and 30/10.  RV2 reported that on P.M. shift of 11/30/10 RV2 did not get RV2's blood gas checked or receive medication for blood sugars.  RP2 reported the procedures were completed.  Preponderance of evidence notes lack of facility follow-up to RV1's complaints.  RP2 was terminated from employment for mismanagement of medication.",2,0,Not Substantiated,Substantiated,
OR0000692700,385024,NF,6/6/2011,"Resident 2 was admitted April 2011 with multiple diagnoses and the facility assessment revealed a reddened coccyx.  Resident 2 was care planned to provide pressure relief measure including use of an air bed.  Resident 2 was physically dependent for most ADLs.  Resident 2's weekly pressure ulcer report dated 5/20/2011 revealed a 1x1 cm open area to the buttocks with generalized redness surrounding the area.  The May TAR did not show treatment for the identified red area.  Resident 2 was sent to the ER on 5/21/11 and the area was noted as untreated.  Staff 4 reported filling out a wound record, but documentation was unable to be located.  Multiple staff failed to measure, notify the physician or treat Resident 2's buttock wound.   Relevant portions of the survey are attached.  Enforcement was proposed including a Directed In-service.",2,0,Not Substantiated,Substantiated,
MF118672A,385024,NF,8/25/2011,"RV reported RP2 is harassing RV; RP2 had mental health come and evaluate RV.  RV reported mental health did not find a problem.  RV reported RP2 told RV he/she would be put on medication and at one time RP2 opened RV's door stating ""I heard you got evicted.""   RP2 denies knowledge of any grievance filed against RP2 and denies saying anything about money to RV.  W3 reported RP2 came up to RV, shook RV's buttocks and stated to RV that he/she was going to another facility.   W4 reported RP2 spoke to RV in a condescending manner.  W3 reported writing a grievance, but W1 denies any written complaints.  W10 reported submitting a grievance to  W6 , but W6 denies seeing any written grievance.  W5, 6 and 9 deny seeing witnessing and or observing any inappropriate complaints.  W1 did speak to RP2 regarding RP2 and RV's interactions.  RP2 failed to treat RV with all due respect, but evidence fails to support RP2 verbally harassing RV.",2,0,Not Substantiated,Substantiated,
